page,item,before,after,source,status
luxury-travel/middle-east,Hotel count (meta description + hero),"twelve hand-selected hotels / Two cities, twelve hotels","fourteen hand-selected hotels / Two cities, fourteen hotels","Counted on site: Dubai page lists 9 hotels, Abu Dhabi page lists 5 (matches mega-menu) = 14",fixed
luxury-travel/middle-east,UK visa on arrival validity (FAQ + JSON-LD),"free visa on arrival, currently valid for 40 days","free visa on arrival, currently valid for up to 90 days within a 180-day period","https://www.gov.uk/foreign-travel-advice/united-arab-emirates/entry-requirements (FCDO: free on arrival, valid for up to 90 days over a 180-day period; 6 months passport validity)",fixed
luxury-travel/middle-east/dubai,UK visa on arrival validity (FAQ + JSON-LD),"free visa on arrival, currently valid for 40 days.","free visa on arrival, currently valid for up to 90 days within a 180-day period.",https://www.gov.uk/foreign-travel-advice/united-arab-emirates/entry-requirements,fixed
luxury-travel/middle-east/dubai,Atlantis The Royal 'Named Best Hotel in the Middle East 2026' (also on middle-east featured card),Named Best Hotel in the Middle East 2026,(unchanged),"https://www.the50.com/hotels/the-list/atlantis-the-royal.html (The 50 Best Hotels 2026: No. 4 and Best Hotel in the Middle East 2026, announced 15 Sep 2026)",no-change-needed
luxury-travel/asia,At-a-glance 'Destinations' count,"Five, Kyoto to Bali","Four, Kyoto to Bali","Page lists four destinations (Thailand, Japan, Bali, Vietnam) in cards, meta and ItemList JSON-LD",fixed
luxury-travel/asia,FAQ 'How far ahead should we book?' (FAQ + JSON-LD),"For Christmas and New Year in Thailand or the Maldives-adjacent islands, nine to twelve months.","For Christmas and New Year in Thailand, nine to twelve months.",Internal: Maldives is not an Asia-page destination and no 'Maldives-adjacent islands' are offered; claim removed,fixed
luxury-travel/asia/thailand,Amanpuri tenure,service with 35 years of muscle memory,service with nearly four decades of muscle memory,https://www.aman.com/resorts/amanpuri (opened 1988 = 38 years in 2026; page's own intro also says 1988),fixed
luxury-travel/asia/vietnam,"London flights (h2, Getting There body, essentials panel)","One stop in, short hops down. / Hanoi and Saigon connect from London one-stop in fourteen to sixteen hours; / Flight time 14–16h one-stop","Direct in, short hops down. / Vietnam Airlines flies direct from London Heathrow to both Hanoi and Saigon several times a week, in around twelve to thirteen hours, with one-stop routings taking fourteen to sixteen; / Flight time 12–13h direct","https://www.vietnamairlines.com/en-gb/flights-from-london-to-vietnam (nonstop LHR–HAN ~12h, LHR–SGN ~12h45, several weekly)",fixed
luxury-travel/indian-ocean/maldives,Sri Lanka combination direction,Ninety minutes west — add culture…,Ninety minutes north-east — add culture…,Geography: Colombo (6.9N 79.9E) lies north-east of Malé (4.2N 73.5E); nonstop MLE–CMB ~1h25–1h30 (https://www.flightconnections.com/flights-from-mle-to-cmb; SriLankan Airlines operates the route https://www.srilankan.com/en-mv/flights-from-male-to-colombo),fixed
luxury-travel/indian-ocean/mauritius,Seychelles combination flight time,Ninety minutes north —,Under three hours north —,Nonstop MRU–SEZ averages ~2h35–2h50 (https://www.flightconnections.com/flights-from-mru-to-sez; https://www.travelmath.com/flying-time/from/Mauritius/to/Seychelles); Seychelles is north of Mauritius so direction kept,fixed
