page,location,before,after,reason
"formula-one/dutch-grand-prix/index.html","FAQ answer (HTML + JSON-LD): package tiers","Every Formula One package ladders the same way.","Our Formula One packages follow the same four tiers at every race.","Internal jargon ('ladders')"
"formula-one/dutch-grand-prix/index.html","Circuit section lede","The full ticket ladder follows below.","The full ticket guide follows below.","Internal jargon ('ticket ladder')"
"formula-one/dutch-grand-prix/index.html","Ticket Guide lede","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","The four tiers are the same at every race we sell. What changes is the grandstands and the circuit’s own hospitality, and those for this race are set out below.","Writer's note ('named here rather than described generically') and internal jargon"
"formula-one/dutch-grand-prix/index.html","Climate section lede","Guidance based on historical seasonal conditions for this race slot rather than a forecast.","Based on typical conditions at this time of year, rather than a forecast.","Internal jargon ('race slot'); stiff phrasing"
"formula-one/dutch-grand-prix/index.html","Climate card label",">Race slot<",">Race weekend<","Internal jargon ('race slot')"
"formula-one/dutch-grand-prix/index.html","Hero format line","Format: Sprint weekend — first and FINAL Dutch GP Sprint","Format: Sprint weekend — the first and final Dutch GP Sprint","Shouty capitals / note-style fragment"
"formula-one/dutch-grand-prix/index.html","Circuit body + FAQ answer (HTML + JSON-LD): race-day travel","Entry packages: train — Amsterdam Centraal to Zandvoort aan Zee direct (~30 min), then walk; the whole event is built around rail and bike. Premium packages: private transfer to the Zandvoort perimeter with escorted walk-in, or stay coastal at Huis ter Duin for the shortest run in.","On entry packages you take the direct train from Amsterdam Centraal to Zandvoort aan Zee (around 30 minutes) and walk from there; the whole event is built around rail and bike. On premium packages a private transfer takes you to the Zandvoort perimeter with an escorted walk-in, or you can stay on the coast at Huis ter Duin for the shortest journey in.","Brief shorthand fragments rewritten as customer copy"
"formula-one/dutch-grand-prix/index.html","Vedere Says band quote","Entry packages: train — Amsterdam Centraal to Zandvoort aan Zee direct (~30 min), then walk; the whole event is built around rail and bike.","Zandvoort is a race built around the train and the bike: the direct service from Amsterdam Centraal reaches Zandvoort aan Zee in around 30 minutes, and the circuit is a walk from the station.","Brief shorthand fragment rewritten as customer copy"
"formula-one/dutch-grand-prix/index.html","FAQ answer (HTML + JSON-LD): flights","LHR–AMS direct (BA/KLM, ~1h15). Regional: KLM direct from Manchester, Birmingham, Bristol, Newcastle, Edinburgh, Glasgow — Amsterdam is the easiest regional connection in Europe. Eurostar London St Pancras–Amsterdam (~4h) as a premium no-fly option.","British Airways and KLM fly direct from London Heathrow to Amsterdam in around 1 hour 15 minutes. KLM also flies direct from Manchester, Birmingham, Bristol, Newcastle, Edinburgh and Glasgow, which makes Amsterdam one of the easiest European cities to reach from the UK regions. If you would rather not fly, Eurostar runs from London St Pancras to Amsterdam in around four hours.","Airport-code shorthand rewritten as customer copy"
"formula-one/dutch-grand-prix/index.html","At a glance: flights","LHR–AMS direct (BA/KLM, ~1h15).","Direct from London Heathrow with BA or KLM, around 1h 15m.","Airport-code shorthand"
