reference,page,image,action,resolution,new_image,notes
54,austin.html,assets/img/sports/library/f1-united-states-2025/f1-united-states-2025-06.jpg,Quality,replaced,assets/img/sports/library/f1-united-states-2025/f1-united-states-2025-04.jpg,"Grandstand Experience package card. The 06 frame is a panning shot with the grandstand the card is selling reduced to motion blur. Replaced with 04, a sharp wide frame of the whole field into Turn 1 at COTA, 2000x1332. Alt rewritten to describe the photograph."
69,australian-grand-prix-2027.html,assets/img/sports/library/f1-australia-2026/f1-australia-2026-06.jpg,Quality,replaced,assets/img/sports/library/f1-australia-2026/f1-australia-2026-01.jpg,"Editorial band under the hero. 06 is a single-car pan with a heavily blurred crowd and its alt said 'Cars' plural. Replaced with 01, sharp, Albert Park lake and the Melbourne skyline behind the cars, 2000x1333."
124,bahrain-grand-prix-2027.html,assets/img/sports/f1/bahrain-grand-prix-2027/f1-bahrain-package-grandstand-experience.jpg,Replace,replaced,assets/img/sports/library/f1-bahrain-2025-sakhir-reference/f1-bahrain-2025-sakhir-reference-04.jpg,"Confirmed wrong venue: the file shows the Baku street circuit (Baku Ferris Wheel, Flame Towers-side towers, F1 75 boards). Replaced with a sharp Sakhir frame of the field through the Turn 1 complex, matching the card's Turn 1 Grandstand product. 2000x1354."
125,bahrain-grand-prix-2027.html,assets/img/sports/f1/bahrain-grand-prix-2027/f1-bahrain-package-premium-bahrain.jpg,Replace,caption-corrected,,"Reviewer said this showed Yas Marina; it does not. The photograph is Bahrain International Circuit's covered main grandstand at night, with Gulf Air trackside branding (the Bahrain GP title sponsor) and the pit buildings opposite. It matches the Premium Bahrain product exactly, so the image was kept and only the placeholder alt ('Premium Bahrain at the Bahrain Grand Prix') was replaced with a description of what is shown."
147,belgian-grand-prix-2027.html,assets/img/sports/f1/belgian-grand-prix-2027/f1-belgian-package-hospitality-experience.jpg,Replace,replaced,assets/img/sports/library/f1-belgium-2026/f1-belgium-2026-03.jpg,"Confirmed the file is a hotel exterior in snow (Hotel Le Balmoral, Spa) on a card selling circuit hospitality at Spa-Francorchamps. No authentic Spa hospitality-suite photograph exists in the library, so replaced with a genuine sharp Spa frame (car on the Belgian tricolour run-off kerbs). GAP: a photograph of Spa-Francorchamps' own hospitality suites on the new pit complex is still needed."
199,canadian-grand-prix-2027.html,assets/img/sports/f1/canadian-grand-prix-2027/f1-canadian-package-premium-montr-al.jpg,Quality,replaced,assets/img/sports/library/f1-canada-2026/f1-canada-2026-02.jpg,"Premium Montreal card. The 900x600 file is a soft long-lens pan of a packed stand. Replaced with a sharp 2000x1333 Circuit Gilles Villeneuve frame showing cars past a covered grandstand full of spectators."
231,chinese-grand-prix-2027.html,assets/img/sports/f1/chinese-grand-prix-2027/f1-chinese-package-grandstand-experience.jpg,Quality,replaced,assets/img/sports/library/f1-china-2026/f1-china-2026-05.jpg,"Correct venue (Shanghai International Circuit canopies) but a soft 900x600 pan. Replaced with a sharp 2000x1333 frame of the start in front of the packed SIC main grandstand, with the 'Welcome to Shanghai' race signage visible."
233,chinese-grand-prix-2027.html,assets/img/sports/f1/chinese-grand-prix-2027/f1-chinese-package-hospitality-experience.jpg,Replace,replaced,assets/img/sports/library/f1-china-2026/f1-china-2026-02.jpg,"Confirmed the file is a twin hotel bedroom on a card selling Shanghai International Circuit hospitality suites. No authentic SIC hospitality photograph exists in the library, so replaced with a genuine sharp 2026 Chinese Grand Prix racing frame rather than leave a hotel room standing in for hospitality. GAP: a photograph of the Shanghai International Circuit hospitality suites in the pit building is still needed."
272,dutch-grand-prix-2026.html,assets/img/sports/f1/dutch-grand-prix-2026/f1-dutch-package-grandstand-experience.jpg,Quality,replaced,assets/img/sports/library/f1-netherlands-2026/f1-netherlands-2026-06.jpg,"Correct venue but a soft 900x600 long-lens frame. Replaced with a sharp 2000x1333 Zandvoort frame of two cars between the dunes. Note: the discarded frame's orange crowd suited the Oranje Army copy, so if a sharp packed-Zandvoort-grandstand frame is ever supplied it would be the better image here."
288,england-tour-of-south-africa-2026-27.html,assets/img/site/entry/entry-stadium-01.jpg,Quality,replaced,assets/img/sports/library/cricket-south-africa/cricket-south-africa-03.jpg,"Generic empty-seat stock on the Boxing Day Test (Centurion) card. Replaced with sharp cricket action photographed in South Africa, alt written so it makes no claim about the ground. GAP: no SuperSport Park, Centurion photograph exists in the library — a Test-match or England-supporters frame at Centurion is still needed."
