page,item,old_value,new_value,notes
dutch-grand-prix-2026.html,hero completed label,(none),"Gold ""Completed — 2026 archive"" badge above the H1, plus eyebrow ""Formula One 2026 · race run Sunday 23 August 2026""",Above-the-fold completed labelling. Race date taken from the page's own stated 21–23 August 2026 (race = last day).
dutch-grand-prix-2026.html,hero routing note,(none),Hero note: no Dutch GP on the 2027 calendar; routes to Belgian GP at Spa 23–25 July 2027 and to formula-one.html,"No 2027 Dutch round per the official 2027 calendar, so enquiries route to Spa / the F1 hub, not a 2027 Dutch edition."
dutch-grand-prix-2026.html,hero price basis,"From £1,395 per person / ""Two adults sharing · guide from price""","2026 from £1,395 per person / ""2026 guide price, two adults sharing — held here for reference only, no longer on sale""",Stops a past price reading as live.
dutch-grand-prix-2026.html,hero buttons,See Packages / Speak to a Specialist,See the 2027 Season / Speak to a Specialist / 2026 Archive,Primary CTA now points at future inventory.
dutch-grand-prix-2026.html,title,Dutch Grand Prix 2026 Packages | Tickets & Hotels | Vedere,Dutch Grand Prix 2026 | Completed — Archive | Vedere,52 chars.
dutch-grand-prix-2026.html,meta description + og:description,"Dutch Grand Prix 2026 packages from £1,395pp...",The 2026 Dutch Grand Prix at Zandvoort was run on 23 August 2026. Archive page: there is no Dutch round in 2027 — see Spa or the full 2027 F1 season.,149 chars.
dutch-grand-prix-2026.html,Product JSON-LD,name/description sold as live; availability InStock,name/description marked archive; availability SoldOut,"Schema.org has no ""completed"" availability; SoldOut is the closest accurate value. eventStatus left as EventScheduled (schema has no completed state)."
dutch-grand-prix-2026.html,packages lede,"""The 2026 race has now taken place...""","""Completed event — 2026 archive."" plus 2026 price basis and routing to Spa 23–25 July 2027 / the 2027 calendar",Archive content preserved and labelled rather than removed.
dutch-grand-prix-2026.html,included section headings,What is included / Included as standard / Available as an upgrade / Available on request,What was included in 2026 / Was included as standard / Was available as an upgrade / Was available on request,Past tense so the archive does not read as an open offer.
dutch-grand-prix-2026.html,package card fields,"Access / Stay / Travel / Transfers; ""Stay: driver appearances. Grand Hotel Huis ter Duin (the drivers' hotel)""","Access / Hotel / Flights / Transfers; driver and team-principal appearances moved into Access and qualified ""where the team's own schedule allowed""; Huis ter Duin moved to Hotel","Driver appearances were filed under ""Stay"". Now under Access and no longer promised unconditionally."
dutch-grand-prix-2026.html,internal note leak,"""(Never name third-party club products.)"" in the Luxury Race Weekend card copy",removed,Internal instruction was published on the live page.
dutch-grand-prix-2026.html,enquire section,"""Plan your Dutch Grand Prix trip"" + generic lede","""Plan your 2027 F1 trip"" + lede explaining there is no Dutch round in 2027 and Spa is the natural swap",Routes enquiries to a future event.
dutch-grand-prix-2026.html,about section,"""The Race Weekend"" eyebrow; CTA ""See Packages / Ticket Guide""","""The Race Weekend — 2026 archive""; CTA ""See the 2027 Season / 2026 Archive""",Archive label on body content.
italian-grand-prix-2026.html,hero completed label,(none),"""Completed — 2026 archive"" badge; eyebrow ""Formula One 2026 · race run Sunday 6 September 2026""",Page states 4–6 September 2026; race day is the last day of the range.
italian-grand-prix-2026.html,hero routing note,(none),"Hero note: Monza returns as round 14, 3–5 September 2027 (sprint weekend); register interest; link to formula-one.html","2027 date from the official 2027 calendar. There is no italian-grand-prix-2027.html page yet, so routing is to the hub + enquiry form."
italian-grand-prix-2026.html,hero price basis,"From £1,195 per person / ""Two adults sharing · guide from price""","2026 from £1,195 / ""2026 guide price... no longer on sale""",
italian-grand-prix-2026.html,hero buttons,See Packages / Speak to a Specialist,Register for Monza 2027 / 2027 Season / 2026 Archive,
italian-grand-prix-2026.html,title,Italian Grand Prix 2026 Packages | Tickets & Hotels | Vedere,Italian Grand Prix 2026 | Completed — Archive | Vedere,54 chars.
italian-grand-prix-2026.html,meta description + og:description,"Italian Grand Prix 2026 packages from £1,195pp...",The 2026 Italian Grand Prix at Monza was run on 6 September 2026. Archive page: Monza returns 3–5 September 2027 — register for the 2027 race.,142 chars.
italian-grand-prix-2026.html,Product JSON-LD,live product; availability InStock,archive wording; availability SoldOut,
italian-grand-prix-2026.html,packages lede,"""The 2026 race has now taken place...""","""Completed event — 2026 archive"" + 2026 price basis + Monza 3–5 September 2027",
italian-grand-prix-2026.html,about copy,"""...we will contact you when 2027 packages open.""","""...Monza is confirmed for 2027 as round 14, 3–5 September 2027, again as a sprint weekend...""",Specific future date now given.
italian-grand-prix-2026.html,included section headings,What is included / Included as standard / etc.,What was included in 2026 / Was included as standard / etc.,
italian-grand-prix-2026.html,package card fields,"Access / Stay / Travel / Transfers; card 3 ""Transfers: open bar; 5* Milan; private transfers""; card 4 hotel inside Access","Access / Hotel / Flights / Transfers throughout; open bar moved to Access, Milan hotel to Hotel, Four Seasons Milano to Hotel; driver appearances qualified","Hotel detail was filed under ""Transfers""."
italian-grand-prix-2026.html,enquire heading,Plan your Italian Grand Prix trip,Register for Monza 2027,
spanish-grand-prix-2026.html,hero completed label,(none),"""Completed — 2026 archive"" badge; eyebrow ""Formula One 2026 · race run Sunday 13 September 2026""",Page states 11–13 September 2026.
spanish-grand-prix-2026.html,hero routing note,(none),"Hero note: Madrid returns as round 15, 10–12 September 2027; register interest; link to formula-one.html",2027 date from the official calendar. No spanish-grand-prix-2027.html page exists.
spanish-grand-prix-2026.html,hero price basis,"From £1,595 / ""Two adults sharing · guide from price""","2026 from £1,595 / ""2026 guide price... no longer on sale""",
spanish-grand-prix-2026.html,hero buttons,See Packages / Speak to a Specialist,Register for Madrid 2027 / 2027 Season / 2026 Archive,
spanish-grand-prix-2026.html,title,Spanish Grand Prix 2026 Packages | Tickets & Hotels | Vedere,Spanish Grand Prix 2026 | Completed — Archive | Vedere,54 chars.
