page,card,issue,action,new_images,needs_sourcing,notes
"bahrain-grand-prix-2027.html","Ritz-Carlton Bahrain","Two external Unsplash stock photographs, neither of this property. The exterior (unsplash photo-1634148551170) is the same file reused on The Ritz-Carlton, Jeddah - the reused-facade error named in the client brief (brief describes it as Atlantis The Palm photography).","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior/resort photography and a Deluxe King (Club Level) bedroom photograph of The Ritz-Carlton Bahrain, Seef","Highest-priority correction on these pages: one identical stock facade served two different Ritz-Carlton properties."
"saudi-arabian-grand-prix-2027.html","The Ritz-Carlton, Jeddah","Two external Unsplash stock photographs, neither of this property. Exterior (unsplash photo-1634148551170) is the same file used on the Ritz-Carlton Bahrain card; the second slide was a generic suite.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe Sea View room photography of The Ritz-Carlton, Jeddah","Second half of the reused-facade error named in the client brief."
"azerbaijan-grand-prix-2026.html","JW Marriott Absheron Baku","Two external Unsplash stock photographs, neither of this property. Facade (unsplash photo-1768876251553) also used for Tivoli Marina Vilamoura and NH Collection Eurobuilding.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe Room (Boulevard View) photography of JW Marriott Absheron Baku",""
"azerbaijan-grand-prix-2026.html","Courtyard Baku","Two external Unsplash stock photographs, neither of this property. Facade (unsplash photo-1578774337542) also used for Fairmont Quasar Istanbul.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe City View room photography of Courtyard by Marriott Baku","Reused facade across two unrelated hotels on two pages."
"saudi-arabian-grand-prix-2027.html","Assila, a Luxury Collection Hotel","Two external Unsplash stock photographs, neither of this property; the second slide was a generic lobby, not a bedroom.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe Room photography of Assila, a Luxury Collection Hotel, Jeddah",""
"turkish-grand-prix-2027.html","Fairmont Quasar Istanbul","Two external Unsplash stock photographs, neither of this property. Facade (unsplash photo-1578774337542) also used for Courtyard Baku.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe King photography of Fairmont Quasar Istanbul","Reused facade across two unrelated hotels."
"turkish-grand-prix-2027.html","The Peninsula Istanbul","Two external Unsplash stock photographs, neither of this property. Facade (unsplash photo-1786684937882) also used for Excelsior Hotel Gallia, Milan; the second slide was a generic lobby, not a bedroom.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe / Bosphorus View room photography of The Peninsula Istanbul","Reused facade across two unrelated hotels on two pages."
"turkish-grand-prix-2027.html","Four Seasons Sultanahmet","Two external Unsplash stock photographs, neither of this property","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe Room photography of Four Seasons Hotel Istanbul at Sultanahmet",""
"turkish-grand-prix-2027.html","Ciragan Palace Kempinski","Two external Unsplash stock photographs, neither of this property. Bedroom (unsplash photo-1685592437742) also used for The Ritz-Carlton, Jeddah and Excelsior Hotel Gallia.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe Bosphorus Room photography of Ciragan Palace Kempinski Istanbul","One stock bedroom served three unrelated hotels across three pages. All four hotel cards on this page were stock, so the page now carries no hotel photography at all."
"singapore-grand-prix-2026.html","The Ritz-Carlton, Millenia","Two external Unsplash stock photographs, neither of this property. Tower (unsplash photo-1777498269093) also used for Tivoli Mofarrej Sao Paulo; the second slide was a rooftop pool, not a bedroom.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe Marina Bay View room photography of The Ritz-Carlton, Millenia Singapore","Reused tower image across two unrelated hotels on two pages."
"portuguese-grand-prix-2027.html","Tivoli Marina Vilamoura","Two external Unsplash stock photographs, neither of this property. Facade (unsplash photo-1768876251553) also used for JW Marriott Absheron Baku and NH Collection Eurobuilding.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Superior Marina View room photography of Tivoli Marina Vilamoura","One stock facade served three unrelated hotels across three pages."
"portuguese-grand-prix-2027.html","Anantara Vilamoura","Two external Unsplash stock photographs, neither of this property; the second slide was a spa treatment room, not a bedroom.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe Golf View room photography of Anantara Vilamoura Algarve Resort",""
"italian-grand-prix-2026.html","Excelsior Hotel Gallia","Two external Unsplash stock photographs, neither of this property. Facade (unsplash photo-1786684937882) also used for The Peninsula Istanbul; bedroom (unsplash photo-1685592437742) also used for The Ritz-Carlton, Jeddah and Ciragan Palace Kempinski.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe Room photography of Excelsior Hotel Gallia, Milan","Both slides were shared with other unrelated hotels."
"spanish-grand-prix-2026.html","NH Collection Eurobuilding","Two external Unsplash stock photographs, neither of this property. Facade (unsplash photo-1768876251553) also used for JW Marriott Absheron Baku and Tivoli Marina Vilamoura.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Superior King photography of NH Collection Madrid Eurobuilding",""
"sao-paulo-grand-prix-2026.html","Tivoli Mofarrej Sao Paulo","Two external Unsplash stock photographs, neither of this property. Tower (unsplash photo-1777498269093) also used for The Ritz-Carlton, Millenia; window shot (unsplash photo-1569803856743) also used for JW Marriott Absheron Baku.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Superior King photography of Tivoli Mofarrej Sao Paulo","Both slides were shared with other unrelated hotels."
"sao-paulo-grand-prix-2026.html","Hotel Unique","Two external Unsplash stock photographs, neither of this property; the second slide was a rooftop pool, not a bedroom.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Deluxe Room photography of Hotel Unique, Sao Paulo",""
"australian-grand-prix-2027.html","W Melbourne","Two external Unsplash stock photographs, neither of this property","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Wonderful Room (City View) photography of W Melbourne",""
"australian-open-2027.html","W Melbourne","Two external Unsplash stock photographs, neither of this property, and a different stock pair from the one used on the Australian GP page.","Removed both stock slides; gallery emptied so the whole .ht-imgs block was removed and the card now renders as a text card. Written content unchanged.","","Licensed exterior and Wonderful King photography of W Melbourne","The same hotel was illustrated with two different sets of stock images on two pages."
"bahrain-grand-prix-2027.html","The Merchant House","Single photograph only, and it is an interior lobby/library view rather than a facade or bedroom","Left the single genuine photograph in place; the repo holds no second image of this exact property, so nothing was added. Not padded with a lobby, spa, restaurant or another property.","","Licensed exterior and Deluxe Suite bedroom photography of The Merchant House, Manama","Repo contains only the-merchant-house-ext-01.jpg for this property."
"australian-grand-prix-2027.html","Crown Towers Melbourne","Single photograph only (night exterior); no bedroom image","Left the single genuine photograph in place; the repo holds no second image of this exact property, so nothing was added. Not padded with a lobby, spa, restaurant or another property.","","Licensed Deluxe River View Room bedroom photography of Crown Towers Melbourne","Repo contains only crown-towers-melbourne-ext-01.jpg for this property."
"australian-open-2027.html","Crown Towers Melbourne","Single photograph only (night exterior); no bedroom image","Left the single genuine photograph in place; the repo holds no second image of this exact property, so nothing was added. Not padded with a lobby, spa, restaurant or another property.","","Licensed Deluxe King / Crown Tower Suite bedroom photography of Crown Towers Melbourne","Repo contains only crown-towers-melbourne-ext-01.jpg for this property."
