page,location,before,after,reason
"formula-one/bahrain-grand-prix/","FAQ ""difference between the package tiers"" (page + JSON-LD)","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1.","Our Formula One packages follow the same four tiers at every race. Grandstand Experience gives you a three-day seat in one of the circuit’s entry grandstands, named in the package.","Internal jargon (""ladders""); the Turn 1 example did not fit every circuit"
"formula-one/bahrain-grand-prix/","FAQ ""difference between the package tiers"" (page + JSON-LD)","Hospitality Experience adds the circuit’s own named hospitality product.","Hospitality Experience adds the circuit’s own hospitality.","Trade phrasing (""named hospitality product"")"
"formula-one/belgian-grand-prix/","FAQ ""difference between the package tiers"" (page + JSON-LD)","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1.","Our Formula One packages follow the same four tiers at every race. Grandstand Experience gives you a three-day seat in one of the circuit’s entry grandstands, named in the package.","Internal jargon (""ladders""); the Turn 1 example did not fit every circuit"
"formula-one/belgian-grand-prix/","FAQ ""difference between the package tiers"" (page + JSON-LD)","Hospitality Experience adds the circuit’s own named hospitality product.","Hospitality Experience adds the circuit’s own hospitality.","Trade phrasing (""named hospitality product"")"
"formula-one/british-grand-prix/","FAQ ""difference between the package tiers"" (page + JSON-LD)","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1.","Our Formula One packages follow the same four tiers at every race. Grandstand Experience gives you a three-day seat in one of the circuit’s entry grandstands, named in the package.","Internal jargon (""ladders""); the Turn 1 example did not fit every circuit"
"formula-one/british-grand-prix/","FAQ ""difference between the package tiers"" (page + JSON-LD)","Hospitality Experience adds the circuit’s own named hospitality product.","Hospitality Experience adds the circuit’s own hospitality.","Trade phrasing (""named hospitality product"")"
"formula-one/chinese-grand-prix/","FAQ ""difference between the package tiers"" (page + JSON-LD)","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1.","Our Formula One packages follow the same four tiers at every race. Grandstand Experience gives you a three-day seat in one of the circuit’s entry grandstands, named in the package.","Internal jargon (""ladders""); the Turn 1 example did not fit every circuit"
"formula-one/chinese-grand-prix/","FAQ ""difference between the package tiers"" (page + JSON-LD)","Hospitality Experience adds the circuit’s own named hospitality product.","Hospitality Experience adds the circuit’s own hospitality.","Trade phrasing (""named hospitality product"")"
"formula-one/las-vegas-grand-prix/","FAQ ""difference between the package tiers"" (page + JSON-LD)","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1.","Our Formula One packages follow the same four tiers at every race. Grandstand Experience gives you a three-day seat in one of the circuit’s entry grandstands, named in the package.","Internal jargon (""ladders""); the Turn 1 example did not fit every circuit"
"formula-one/las-vegas-grand-prix/","FAQ ""difference between the package tiers"" (page + JSON-LD)","Hospitality Experience adds the circuit’s own named hospitality product.","Hospitality Experience adds the circuit’s own hospitality.","Trade phrasing (""named hospitality product"")"
