reference,page,image,action,resolution,new_image,notes
"54","austin.html","assets/img/sports/library/f1-united-states-2025/f1-united-states-2025-06.jpg","Quality","already-resolved","","Package card grid no longer on the page; the deployed supporting image is now f1-united-states-2025-01.jpg, which is sharp. No soft car image remains."
"100","austrian-grand-prix-2027.html","assets/img/luxury/europe/montenegro/montenegro-hero-01.jpg","Replace","removed-gap-recorded","","Photo is Kotor, Montenegro, under a 'Graz old town' card. No Graz cityscape exists in the library (only Graz hotel press shots). Image removed. NEEDED: Graz old town / Schlossberg clock tower / Kunsthaus."
"102","austrian-grand-prix-2027.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-strawberries.jpg","Replace","removed-gap-recorded","","Wimbledon strawberry ice cream under a 'Zotter chocolate factory' card. No Zotter imagery in the library. Image removed. NEEDED: Zotter chocolate factory, Riegersburg, Styria."
"158","botswana.html","assets/img/luxury/africa/index/africa-band-01.jpg","Verify / replace","replaced","assets/img/destinations/botswana/botswana-01.jpg","Verified wrong: the band image is a Virunga-style volcano hillside lodge (Rwanda/Uganda), not Botswana. Replaced with the library's genuine Okavango Delta aerial; alt rewritten."
"184","british-grand-prix-2027.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-section-hotels.jpg","Replace","removed-gap-recorded","","Ashford Castle, Ireland, under 'Blenheim Palace and Woodstock'. No Blenheim imagery in the library. Image removed. NEEDED: Blenheim Palace / Woodstock, Oxfordshire."
"185","british-grand-prix-2027.html","assets/img/sports/f1/austin/austin-city-south-congress.jpg","Replace","removed-gap-recorded","","Austin South Congress shopfronts under 'Bicester Village'. No Bicester imagery in the library. Image removed. NEEDED: Bicester Village, Oxfordshire."
"186","british-grand-prix-2027.html","assets/img/sports/golf/index/golf-event-ryder-cup.jpg","Replace","removed-gap-recorded","","Golfers at an Irish manor under 'Oxford colleges afternoon'. No Oxford imagery in the library. Image removed. NEEDED: Oxford colleges / Radcliffe Camera."
"253","darts.html","assets/img/sports/us-sports/index/us-sports-league-nba.jpg","Replace","replaced","assets/img/sports/library/other-sports-darts/other-sports-darts-01.jpg","NBA arena bowl on the Session Tickets card replaced with genuine PDC darts action from the client's 'Other Sports - Darts' library; alt names the actual event (Premier League Darts Night 8, Berlin, March 2026)."
"254","darts.html","assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","Verify / replace","removed-gap-recorded","","Verified as Map & Flag hospitality at Augusta (the Masters), reused on a darts hospitality card. No authentic darts hospitality photography exists. pk-media block removed. NEEDED: official PDC hospitality at Alexandra Palace (dining/reserved seating)."
"255","darts.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg","Verify / replace","removed-gap-recorded","","Wimbledon debenture-lounge asset reused on the darts Group Tables card. pk-media block removed. NEEDED: table seating / group area at Alexandra Palace during the World Championship."
