page,card,issue,action,new_images,needs_sourcing,notes
"belgian-grand-prix-2027.html","Radisson Blu Palace, Spa","Property renamed by the client brief","renamed","","","Card heading, location line and both alt texts now read Van der Valk Hotel Spa. Former name kept as a searchable alias in the location line (formerly Radisson Blu Palace). The name does not appear in assets/js/vx-search.js (event pages carry no hotel entries), so no index change was needed. Existing repo photography retained under its original assets/img/hotels/radisson-blu-palace-spa/ path."
"belgian-grand-prix-2027.html","Hotel de la Source","Both gallery slides were external Unsplash stock (generic Ardennes facade and an unrelated restaurant interior)","removed-gallery","","Hotel de la Source exterior and a Comfort Double bedroom","Whole .ht-imgs block removed; card now renders as a text card via the existing .ht:not(:has(.ht-imgs)) rule. The orphaned room caption was removed with it. No genuine photography of this property is held in the repo."
"british-grand-prix-2027.html","Fawsley Hall","Both gallery slides were external Unsplash stock (generic English manor facade and an unrelated columned lounge)","removed-gallery","","Fawsley Hall exterior and a Deluxe Room / Manor Suite bedroom","Whole .ht-imgs block and the orphaned room caption removed; card renders as a text card. No genuine photography of this property is held in the repo."
"british-grand-prix-2027.html","Le Manoir aux Quat'Saisons, A Belmond Hotel","External stock imagery, plus the brief's requirement to evidence reopening and July 2027 bookability","removed-gallery; card left in place; unverifiable attribution removed","","Le Manoir aux Quat'Saisons exterior and a Garden Room bedroom","CONTENT DEPENDENCY: the client must confirm the hotel has reopened and is bookable for the July 2027 British Grand Prix before this card, and the two package descriptions that name it (the Access line and the inclusions list), are offered. No new claims were added. The chef attribution in the positioning line (Raymond Blanc's manor house) was removed and replaced with a neutral description, per the instruction not to state chef roles."
"canadian-grand-prix-2027.html","Hotel Le St-James","Brief requires replacement unless reopening and current bookability can be evidenced; the card also carried two external Unsplash stock images","card-removed","","","CONTENT DEPENDENCY: reopening and current bookability cannot be evidenced from the repo, so the card was removed in full. The section lede was corrected from 'All four sit in Old Montreal or the Golden Square Mile' to 'All three'. The Ritz-Carlton card's existing 'the quietest of the three' now reads correctly. If the client can evidence bookability the card can be restored, but it will need genuine property photography."
"canadian-grand-prix-2027.html","Ritz-Carlton Montreal","Single-photograph card, and that photograph is the Palm Court, not a guest room","left-single-image; caption corrected","","Ritz-Carlton Montreal guest room (Deluxe King) photograph","Repo holds only ritz-carlton-montreal-ext-01.jpg. Caption now reads 'Quoted room: Deluxe King / Suite - the Palm Court is pictured, not a guest room'. No lobby or restaurant image was used as a bedroom substitute."
"las-vegas-grand-prix-2026.html","Wynn / Encore","Two separate hotels presented as one card, with photography for only one of them","identified-in-copy","","Encore exterior and an Encore Tower Suite bedroom","Heading now reads 'Wynn Las Vegas & Encore'. The caption states that the quoted room is an Encore Tower Suite at Encore or a Resort King at Wynn, and that both photographs are of Wynn Las Vegas. A 'Two separate hotels' paragraph states that no Encore photography is held and that the hotel a quotation applies to is confirmed before anything is held. Not split into two cards because the repo holds no Encore photography and no Encore-specific facilities."
"qatar-grand-prix-2026.html","Fairmont & Raffles Doha, Katara Towers -> Raffles Doha","Two separate hotels presented as one card with a five-slide mixed gallery","split-into-own-card","assets/img/hotels/raffles-doha/raffles-doha-ext-01.jpg; assets/img/hotels/raffles-doha/raffles-doha-int-01.jpg; assets/img/hotels/raffles-doha/raffles-doha-ext-02.jpg","","New standalone Raffles Doha card carrying only Raffles photography. The Room row was reduced to the Raffles half of the original combined row (All-suite, butler-served). Facilities kept verbatim from the original card. The caption notes that the exteriors show the Katara Towers, which Raffles shares with Fairmont, so no exterior is implied to be one hotel alone."
"qatar-grand-prix-2026.html","Fairmont & Raffles Doha, Katara Towers -> Fairmont Doha","Two separate hotels presented as one card with a five-slide mixed gallery","split-into-own-card","assets/img/hotels/fairmont-doha/fairmont-doha-ext-01.jpg; assets/img/hotels/fairmont-doha/fairmont-doha-int-01.jpg","","New standalone Fairmont Doha card carrying only Fairmont photography. The Room row was reduced to 'Deluxe King' from the original combined row. Facilities taken verbatim from the original card with the Raffles-branded item removed, rather than anything new invented. CONTENT DEPENDENCY: the client should confirm the per-hotel facilities lists, since the original list was written for the two hotels together."
"qatar-grand-prix-2026.html","Section lede and Four Seasons Doha","Count wording no longer correct after the split","copy-corrected","","","The lede now reads 'Two share the Katara Towers at the circuit gates; the other three sit in Doha itself'. The Four Seasons line 'the only one of the four with a private beach and marina of its own' now reads 'the only one of the three Doha hotels', which also removes a contradiction with the Katara Towers cards' marina access. No prices or facilities changed."
"chinese-grand-prix-2027.html","The Middle House","Property renamed by the client brief","renamed","","","Card heading now reads 'Upper House Shanghai'; both alt texts updated; former name kept as a searchable alias in the location line (formerly The Middle House). The name does not appear in assets/js/vx-search.js. The gallery caption was also corrected: the quoted rooms are Studio 60 / Studio 80 but the interior photograph is a Studio 70, so the caption now says 'Studio 70 pictured'."
"barbados.html","Coral Reef Club","Single-photograph card","second-image-added","assets/img/luxury/caribbean/barbados/barbados-coral-reef-int-01.jpg","Coral Reef Club bedroom (Garden Room or Plantation Suite)","The only other Coral Reef Club image held is a suite bathroom in coral stone and mahogany. Added as a second slide with honest alt text, and the caption now states that a suite bathroom is pictured and no bedroom is shown. Gallery navigation buttons and an indicator were added, which this card previously lacked. A bedroom photograph is still needed."
"barbados.html","Colony Club","The single image is not this property: it shows a panelled, gilded city-club interior with tartan armchairs and sash windows onto a stone street, which is not a Caribbean beach resort","image-removed; gallery removed","","Colony Club beachfront/exterior hero and a Pool Garden Room bedroom","Flagged for careful verification in the brief and confirmed wrong. barbados-colony-club-int-01.jpg was the card's only image, so the whole .ht-imgs block and the orphaned caption were removed and the card now renders as a text card. The file is still on disk and is not referenced by any other page."
"barbados.html","Port Ferdinand & Saint Peter's Bay","Two separate estates presented as one card, photographed only as Saint Peter's Bay","identified-in-copy; own photography added for each","assets/img/luxury/caribbean/barbados/barbados-port-ferdinand-ext-01.jpg; assets/img/luxury/caribbean/barbados/barbados-port-ferdinand-int-01.jpg","","The gallery now runs 1-2 Port Ferdinand (marina, residence buildings and beach club; residence living room) and 3-4 Saint Peter's Bay, with the caption saying which is which. A 'Two separate estates' paragraph states that each has its own residences, facilities and rates. CONTENT DEPENDENCY: not split into two cards because the repo holds only a combined room range, a combined facilities list and one nightly guide price (GBP 680); the client must supply per-estate room ranges, facilities and rates before the card can be split."
"greece.html","Canaves Oia -> Canaves Oia Suites & Canaves Oia Epitome","Two separate hotels presented as one card; the two photographs are filed only as 'Canaves Oia' and cannot be attributed to either","identified-in-copy","","Property-attributed photography for Canaves Oia Suites and for Canaves Oia Epitome separately","Heading, enquiry button and the enquiry form's hotel option now name both hotels; the vx-search.js entry was updated with both names as aliases. The caption states that the photographs are supplied under the Canaves Oia name and are not attributed to either hotel. A 'Two separate hotels' paragraph says each has its own rooms, facilities and rates. The 'Why we selected it' line was trimmed so it no longer claims the photographs show the Epitome plunge pools. CONTENT DEPENDENCY: the client must confirm which hotel each photograph shows, which hotel the GBP 520 guide rate and the 'Suite to Epitome Villa with Private Pool' range belong to, and supply separate amenities before the card can be split."
"greece.html","Ikos Kissamos","Legacy images flagged for careful verification; the interior was captioned as a guest room but shows a suite living area, and the exterior reads as a pre-opening visual rather than a photograph of the completed resort","re-captioned","","Ikos Kissamos bedroom photograph, and confirmation that the exterior is of the completed resort","Both images are consistent with a new-build Ikos on Kissamos Bay and neither is reused anywhere else in the repo, so they were kept rather than removed. Alt text now describes what each image actually shows, and the caption says a suite living area is pictured with no bedroom shown. CONTENT DEPENDENCY: confirm whether the exterior is a photograph of the built resort or a pre-opening render."
"greece.html","Daios Cove","Single-photograph card (main pool only)","second-image-added","assets/img/luxury/europe/greece/greece-daios-cove-int-01.jpg","","Genuine Daios Cove bedroom added as a second slide: a sea-view room opening onto a terrace above the bay, matching the card's own description of a private cove east of Agios Nikolaos."
"spain.html","Finca Cortesin","Single-photograph card (entrance only)","second-image-added","assets/img/luxury/europe/spain/spain-finca-cortesin-int-01.jpg","","Genuine Finca Cortesin bedroom added as a second slide: a bedroom opening onto a private terrace and pool."
"spain.html","Nobu Hotel Ibiza Bay","Single-photograph card (pool only)","second-image-added","assets/img/luxury/europe/spain/spain-nobu-ibiza-int-01.jpg","","Genuine Nobu Hotel Ibiza Bay bedroom added as a second slide: a guest bedroom with sea view and terrace."
"turkey.html","Museum Hotel Cappadocia","Single-photograph card (terraces and pool at dusk)","left-single-image","","Museum Hotel Cappadocia bedroom (Cave Room or Grand King Suite)","The only other Museum Hotel image held (turkey-museum-hotel-int-01.jpg) is an Ottoman salon, a public room, so it was deliberately not used as a bedroom substitute. Card left unchanged; a bedroom photograph is needed."
"sri-lanka.html","Uga Ulagalla","Legacy images flagged for careful verification; the interior was captioned 'Guest room and interiors' but shows an open-sided colonial lounge and bar, not the quoted Ulagalla Pool Villa","re-captioned","","Uga Ulagalla Pool Villa bedroom photograph","The exterior matches the card's own description of a restored 150-year-old manor house with an estate pool and was kept with corrected alt text. The interior was re-captioned honestly rather than removed, and the gallery caption now says the manor house and grounds are pictured with no villa interior shown. CONTENT DEPENDENCY: confirm that both images are of Uga Ulagalla and not another Uga property."
