reference,page,image,action,resolution,new_image,notes
"14","abu-dhabi-grand-prix-2026.html","assets/img/sports/f1/abu-dhabi-grand-prix-2026/f1-abu-dhabi-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/abu-dhabi-grand-prix-2026/f1-abu-dhabi-band-01.jpg","Photograph verified as W Abu Dhabi - Yas Island above the Yas Marina basin at dusk. Alt and figcaption rewritten to describe that view instead of promising a circuit view from the grandstands."
"16","abu-dhabi-grand-prix-2026.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-w-yas-island-ext-01.jpg","Replace","removed-gap-recorded","","Hotel exterior used for the Bocelli / Etihad Arena card. No Etihad Arena photography exists in the library, so the image was removed and the card left as text. NEEDS: authentic photograph of Etihad Arena, Yas Island (or the confirmed Bocelli performance)."
"17","abu-dhabi-grand-prix-2026.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-jumeirah-saadiyat-ext-01.jpg","Replace","removed-gap-recorded","","Resort pool used for Ferrari World. No Ferrari World photography exists in the library, so the image was removed. NEEDS: authentic Ferrari World Abu Dhabi photograph."
"69","australian-grand-prix-2027.html","assets/img/sports/library/f1-australia-2026/f1-australia-2026-06.jpg","Quality","already-resolved","assets/img/sports/library/f1-australia-2026/f1-australia-2026-03.jpg","Flagged soft frame is no longer deployed. The page now carries the approved hero plus the sharp 2026 Norris pit-stop frame."
"75","australian-grand-prix-2027.html","assets/img/sports/f1/australian-grand-prix-2027/f1-australian-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/australian-grand-prix-2027/f1-australian-band-01.jpg","Photograph is Melbourne's skyline and Princes Bridge over the Yarra at dusk, not Albert Park. Alt and figcaption rewritten."
"116","azerbaijan-grand-prix-2026.html","assets/img/luxury/europe/montenegro/montenegro-hero-01.jpg","Replace","removed-gap-recorded","","Kotor (Montenegro) removed from the Icheri Sheher card. No Baku old-city photography in the library. NEEDS: Icheri Sheher / Maiden Tower / Shirvanshahs Palace photograph."
"117","azerbaijan-grand-prix-2026.html","assets/img/luxury/middle-east/dubai/dubai-marina-night-01.jpg","Replace","replaced","assets/img/hotels/fairmont-baku-flame-towers/fairmont-baku-flame-towers-ext-01.jpg","Dubai Marina removed. Replaced with the official Fairmont Baku press photograph, which shows the Flame Towers themselves lit at dusk - the exact named attraction. Alt describes only what is shown. No Dubai imagery now remains on this page."
"118","azerbaijan-grand-prix-2026.html","assets/img/luxury/north-america/arizona/arizona-amangiri-ext-01.jpg","Replace","removed-gap-recorded","","Amangiri desert resort removed from the Gobustan day-trip card. NEEDS: Gobustan rock art / mud volcanoes photograph."
"142","belgian-grand-prix-2027.html","assets/img/sports/library/f1-belgium-2026/f1-belgium-2026-03.jpg","Quality","already-resolved","assets/img/sports/library/f1-belgium-2026/f1-belgium-2026-05.jpg","No longer deployed. The page carries the approved Eau Rouge hero and the sharp 2026 qualifying frame."
"143","belgian-grand-prix-2027.html","assets/img/sports/library/f1-belgium-2026/f1-belgium-2026-02.jpg","Quality","already-resolved","assets/img/sports/library/f1-belgium-2026/f1-belgium-2026-05.jpg","No longer deployed."
"147","belgian-grand-prix-2027.html","assets/img/sports/f1/belgian-grand-prix-2027/f1-belgian-package-hospitality-experience.jpg","Replace","already-resolved","","The package cards on this page no longer carry images, so the hotel-for-hospitality mismatch is gone."
"150","belgian-grand-prix-2027.html","assets/img/sports/f1/belgian-grand-prix-2027/f1-belgian-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/belgian-grand-prix-2027/f1-belgian-band-01.jpg","Aerial of the Van der Valk Hotel Spa (formerly Radisson Blu Palace, which the page also sells) in the Ardennes woods, not the circuit. Alt and figcaption rewritten."
"151","belgian-grand-prix-2027.html","assets/img/luxury/europe/index/europe-destination-nordics.jpg","Replace","removed-gap-recorded","","Blue geothermal pool removed from the Thermes de Spa card. NEEDS: Thermes de Spa photograph."
"152","belgian-grand-prix-2027.html","assets/img/luxury/europe/montenegro/montenegro-about-01.jpg","Replace","removed-gap-recorded","","Perast (Montenegro) removed from the Stavelot abbey card. NEEDS: Stavelot Abbey and/or the circuit museum."
"154","belgian-grand-prix-2027.html","assets/img/luxury/caribbean/grenada/grenada-about-01.jpg","Verify / replace","removed-gap-recorded","","Verified as the tropical rainforest waterfall asset held in the Grenada destination folder; it is certainly not Coo in the Ardennes. Removed. NEEDS: Coo waterfalls / Ardennes forest walk photograph."
"231","chinese-grand-prix-2027.html","assets/img/sports/f1/chinese-grand-prix-2027/f1-chinese-package-grandstand-experience.jpg","Quality","already-resolved","","Package cards on this page no longer carry images."
"233","chinese-grand-prix-2027.html","assets/img/sports/f1/chinese-grand-prix-2027/f1-chinese-package-hospitality-experience.jpg","Replace","already-resolved","","Package cards on this page no longer carry images."
"236","chinese-grand-prix-2027.html","assets/img/sports/f1/chinese-grand-prix-2027/f1-chinese-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/chinese-grand-prix-2027/f1-chinese-band-01.jpg","Photograph is the Pudong skyline and Oriental Pearl Tower seen from the Bund at dusk, not the circuit. Alt and figcaption rewritten."
"237","chinese-grand-prix-2027.html","assets/img/sports/f1/miami-grand-prix-2027/f1-miami-section-beyond.jpg","Replace","replaced","assets/img/hotels/the-peninsula-shanghai/the-peninsula-shanghai-ext-01.jpg","Miami skyline removed. Replaced with the official Peninsula Shanghai press photograph of the Pudong skyline across the Huangpu from the hotel's Bund rooftop terrace - the exact named view."
"238","chinese-grand-prix-2027.html","assets/img/luxury/asia/index/asia-hero-02.jpg","Replace","removed-gap-recorded","","Japanese-style timber pavilion removed from the Yu Garden card. NEEDS: Yu Garden / Shanghai old town tea house photograph."
"240","chinese-grand-prix-2027.html","assets/img/luxury/asia/vietnam/vietnam-about-01.jpg","Verify / replace","removed-gap-recorded","","Verified as Hoi An, Vietnam - Vietnamese signage and HA-prefixed boat registrations are legible in the frame. Not Zhujiajiao, so removed. NEEDS: Zhujiajiao water town photograph."
"319","europe.html","assets/img/luxury/europe/index/europe-hero-03.jpg","Verify / replace","already-resolved","assets/img/heroes/europe/europe-hero-01.jpg","Legacy slide no longer deployed; the page now carries the approved Caruso, Ravello hero."
"320","europe.html","assets/img/luxury/europe/index/europe-about-01.jpg","Verify / replace","replaced","assets/img/hotels/hotel-du-cap-eden-roc/hotel-du-cap-eden-roc-ext-02.jpg","Subject verified: the legacy file is a crop of the official Hotel du Cap-Eden-Roc press photograph already held in the library. Swapped to the library master and given an accurate alt and caption; the previous caption attached it to Greece."
"357","florida.html","assets/img/luxury/north-america/florida/florida-about-01.jpg","Verify / replace","replaced","assets/img/destinations/florida/florida-01.jpg","The Palm Beaches could not be confirmed for the legacy aerial, so it was replaced with the verified Florida destination photograph from the library rather than kept on a plausible-looking claim."
"427","index.html","assets/img/sports/index/sports-hero-02.jpg","Caption / replace","already-resolved","assets/img/heroes/index/index-slide-01.jpg","The homepage carousel was rebuilt with the approved slides; the flagged asset is no longer deployed. Checked the new slide alts: the football slide describes the crowd only and names no player."
"428","index.html","assets/img/sports/library/f1-monaco-2026/f1-monaco-2026-01.jpg","Quality","already-resolved","assets/img/heroes/index/index-slide-01.jpg","No longer deployed as a supporting image; the approved Monaco carousel slide is in place."
"440","index.html","assets/img/sports/index/sports-card-formula-one.jpg","Caption / replace","caption-corrected","assets/img/sports/index/sports-card-formula-one.jpg","Photograph is the Yas Marina main straight beneath its sail canopies at dusk - there is no car in frame. Alt rewritten; the figcaption makes no visual claim and was left."
"462","italian-grand-prix-2026.html","assets/img/sports/f1/italian-grand-prix-2026/f1-italian-package-premium-monza.jpg","Quality","already-resolved","","Package cards on this page no longer carry images."
"463","italian-grand-prix-2026.html","assets/img/sports/f1/italian-grand-prix-2026/f1-italian-package-hospitality-experience.jpg","Replace","already-resolved","","Package cards on this page no longer carry images."
"466","italian-grand-prix-2026.html","assets/img/sports/f1/italian-grand-prix-2026/f1-italian-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/italian-grand-prix-2026/f1-italian-band-01.jpg","Photograph is the Villa Reale di Monza and its royal park from the air, not the Autodromo. Alt and figcaption rewritten - the royal-park link in the original caption is genuine."
"468","italian-grand-prix-2026.html","assets/img/luxury/europe/italy/italy-carlton-milan-ext-01.jpg","Replace","removed-gap-recorded","","Hotel terrace at dusk removed from the Duomo rooftop card. The library holds no Duomo or Galleria photography. NEEDS: Duomo rooftop / Galleria Vittorio Emanuele II photograph."
"508","las-vegas-grand-prix-2026.html","assets/img/luxury/north-america/arizona/arizona-amangiri-ext-01.jpg","Replace","removed-gap-recorded","","Amangiri desert resort removed from the Grand Canyon helicopter card. NEEDS: Grand Canyon photograph."
"509","las-vegas-grand-prix-2026.html","assets/img/luxury/middle-east/index/middle-east-hero-02.jpg","Replace","removed-gap-recorded","","Dubai Marina removed from the after-parties card. NEEDS: Las Vegas club / after-party photograph (Omnia, XS, Zouk). No Dubai imagery now remains on this page."
"530","malaysian-grand-prix-2026.html","assets/img/sports/f1/malaysian-grand-prix-2026/f1-malaysian-package-hospitality-experience.jpg","Replace","removed-gap-recorded","","The image was a Kuala Lumpur hotel rooftop pool sold as Sepang pit-building hospitality. Removed the pk-media block, matching the image-free package cards already deployed on the Belgian, Chinese and Italian pages. NEEDS: Sepang International Circuit hospitality suite photograph."
"531","malaysian-grand-prix-2026.html","assets/img/sports/f1/malaysian-grand-prix-2026/f1-malaysian-package-luxury-race-weekend.jpg","Replace","removed-gap-recorded","","The image was the exterior of the budget Hotel Sri Langit, sold as a GBP 6,995pp Official Team Hospitality package. Removed. NEEDS: Official Team Hospitality suite photograph at Sepang."
"533","malaysian-grand-prix-2026.html","assets/img/luxury/middle-east/index/middle-east-hero-02.jpg","Replace","removed-gap-recorded","","Dubai Marina removed from the Petronas Towers / KLCC card. The only KL tower imagery in the library is a hotel rooftop pool with the towers in the far corner, which would repeat the same fault, so nothing was substituted. NEEDS: Petronas Towers skybridge / KLCC at night. No Dubai imagery now remains on this page."
"534","malaysian-grand-prix-2026.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale street scene removed from the Jalan Alor / Petaling Street card. NEEDS: Jalan Alor or Chinatown Petaling Street photograph."
"535","malaysian-grand-prix-2026.html","assets/img/luxury/asia/index/asia-destination-thailand.jpg","Replace","removed-gap-recorded","","Thai garden pavilion removed from the Batu Caves card. NEEDS: Batu Caves and temple photograph."
"536","malaysian-grand-prix-2026.html","assets/img/luxury/index/luxury-region-north-america.jpg","Replace","removed-gap-recorded","","Clifftop seaside terrace removed from the KL rooftop-bars card. NEEDS: Marini's on 57 / Heli Lounge Bar or another recognisable Kuala Lumpur rooftop."
"573","miami-grand-prix-2027.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale street scene removed from the Joe's Stone Crab / Calle Ocho card. NEEDS: Little Havana / Calle Ocho photograph."
"624","nba.html","assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","Verify / replace","removed-gap-recorded","","Verified as a golf clubhouse dining room - the Claret Jug, golf trophies and course photography are all legible - so there is no link to NBA club hospitality. Removed from the Club Experience card. NEEDS: NBA arena club-lounge photograph."
"625","nba.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-club-seats.jpg","Replace","removed-gap-recorded","","Verified as club seating at an American open-air ballpark. Removed from the Courtside card. NEEDS: NBA courtside / floor-seat photograph."
"627","nba.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-lounge.jpg","Verify / replace","removed-gap-recorded","","Verified as a football-ground hospitality restaurant (a Sheffield United FC feed is on the screens). Figure removed; the What's Included section now matches the single-column form already deployed on boxing.html. A Madison Square Garden exterior was considered but rejected as it shows no lounge and the page already carries one. NEEDS: NBA arena lounge photograph."
"713","portuguese-grand-prix-2027.html","assets/img/sports/f1/portuguese-grand-prix-2027/f1-portuguese-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/portuguese-grand-prix-2027/f1-portuguese-band-01.jpg","Photograph is a hotel above Portimao marina and the Arade estuary, not the Autodromo. Alt rewritten; this band carries no caption."
"721","portuguese-grand-prix-2027.html","assets/img/luxury/europe/portugal/portugal-pine-cliffs-ext-01.jpg","Replace","removed-gap-recorded","","Pine Cliffs (Albufeira) removed from the Sagres / Cabo de Sao Vicente card. NEEDS: Cabo de Sao Vicente or Sagres photograph."
"722","portuguese-grand-prix-2027.html","assets/img/luxury/europe/croatia/croatia-about-01.jpg","Replace","removed-gap-recorded","","Croatian stone harbour village removed from the Portimao old town / Ferragudo card. NEEDS: Portimao old town or Ferragudo photograph."
"730","premier-league-wembley-hospitality.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg","Verify / replace","already-resolved","assets/img/sports/library/football-wembley-hospitality/football-wembley-hospitality-02.jpg","The Wimbledon asset is no longer deployed. The package cards on this page carry no images and the hospitality imagery in use comes from the Wembley hospitality library folder (Bobby Moore area)."
