page,location,before,after,reason
"formula-one/austin-grand-prix","Ticket guide · Premium Hospitality","Availability is limited and released early — for the 2026 race we recommend confirming well before the summer.","Availability is limited and released early, so we recommend confirming your place as soon as you can.","Stale timing advice (page is live in late September, after the summer)"
"formula-one/austin-grand-prix","Extend · Hotel Drover card","and the most convincing modern interpretation of Texas style in the state.","and a convincing modern take on Texas style.","Unsupported superlative / hype"
"formula-one/canadian-grand-prix","Hero meta","Format: Round 7 of 24 · sprint weekend","Round 7 of 24 · sprint weekend","Internal field label (""Format:"") in customer copy"
"formula-one/canadian-grand-prix","Hero basis","Two adults sharing · guide from price","Guide price per person, two adults sharing","Shorthand fragment"
"formula-one/canadian-grand-prix","Vedere Says band quote","Métro Yellow Line to Jean-Drapeau lands beside the circuit and is the best way in at every level of package. Private transfers drop at the Concorde bridge, from where it is a short walk; there is some walking involved at this circuit whichever way you arrive.","An island circuit ten minutes from downtown, and a city that gives itself over entirely to Grand Prix week.","Band quote was a transport note repeated verbatim three times on the page; replaced with a line drawn from the page intro"
"formula-one/canadian-grand-prix","Packages lede","Guide “from” prices per person, two adults sharing, including flights and hotel. 4 nights.","Guide prices are per person, two adults sharing, and include return flights and four nights’ accommodation.","Shorthand fragment (""4 nights."")"
"formula-one/canadian-grand-prix","Package Grandstand Experience · hotel","Hôtel William Gray (4*/5*)","Hôtel William Gray · Old Montréal","Undecided star rating ""(4*/5*)"" read as a writer note; rating removed pending confirmation, location given instead"
"formula-one/canadian-grand-prix","Package Premium/Hospitality · hotel (x2)","Four Seasons Montréal (5*)","Four Seasons Montréal · 5★","Shorthand star format; matched to site template"
"formula-one/canadian-grand-prix","Package Luxury Race Weekend · hotel","Ritz-Carlton Montréal (5*)","Ritz-Carlton Montréal · 5★","Shorthand star format; matched to site template"
"formula-one/canadian-grand-prix","Hospitality Experience card + ticket guide (x2)","Circuit Gilles Villeneuve hospitality lounges above the rebuilt pit complex — all-inclusive, with final product names confirmed with your quotation.","All-inclusive hospitality lounges above the rebuilt pit complex at Circuit Gilles Villeneuve. The exact lounge is confirmed with your quotation.","Internal phrasing (""final product names"")"
"formula-one/canadian-grand-prix","Luxury Race Weekend card + ticket guide (x2)","Official Team Hospitality — preferred team's suite; note Lance Stroll-era home interest keeps Aston allocations tight.","Official Team Hospitality in your preferred team’s suite. Home support for Aston Martin runs high in Montréal, so that team’s places are especially limited.","Staff note (""note … allocations tight"") in customer copy"
"formula-one/canadian-grand-prix","Circuit section lede","The full ticket ladder follows below.","Each ticket option is set out in the guide below.","Internal jargon (""ticket ladder"")"
"formula-one/canadian-grand-prix","At a glance · Flights","LHR–YUL direct (BA/Air Canada, ~7h).","Direct from Heathrow with British Airways or Air Canada, around 7 hrs","Airport-code shorthand"
"formula-one/canadian-grand-prix","At a glance · Transfers","Local transport on entry tiers; private transfers above","Métro on the entry package; private transfers on all others","Internal tier shorthand"
"formula-one/canadian-grand-prix","Ticket guide lede","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","Four ways to watch the race, from a grandstand seat at the hairpin to a place in a team’s own hospitality suite.","Note about how the copy was written (""named here rather than described generically"")"
"formula-one/canadian-grand-prix","Things to do · Street parties body","Crescent Street and Peel closures, open-air concerts","Crescent Street and Peel Street close to traffic for Grand Prix week and fill with open-air concerts and terraces that run late into the evening.","Brief note fragment instead of a sentence"
"formula-one/canadian-grand-prix","Things to do · Old Montréal card (body added; heading kept)","Old Montréal and the basilica; Jean-Talon market grazing","Old Montréal and the basilica; Jean-Talon market grazing Walk the cobbled streets of the old city to the Notre-Dame Basilica, then spend a morning grazing your way around the Jean-Talon market.","Card had only a shorthand heading and no body; heading left unchanged (no-image card rule)"
"formula-one/canadian-grand-prix","Things to do · Bagels card body","St-Viateur then Schwartz's","Settle the city’s great food debate for yourself: a bagel at St-Viateur, then smoked meat at Schwartz’s.","Brief note fragment instead of a sentence"
"formula-one/canadian-grand-prix","Things to do · Cirque du Soleil card (has image)","Cirque du Soleil if resident show aligns","Cirque du Soleil Montréal is Cirque du Soleil’s home city. If a show is running during your stay, we can arrange seats.","Writer note in heading (""if resident show aligns""); card has an image so the heading could be rewritten"
"formula-one/canadian-grand-prix","Climate · temperature note","15–24°C, sunshine likely, evening cool. Layers.","Sunshine is likely, but evenings turn cool. Pack layers.","Shorthand fragment"
"formula-one/canadian-grand-prix","Extend · Québec City","Québec City (2–3 nts). Auberge Saint-Antoine — 3h rail","Québec City (two to three nights). Auberge Saint-Antoine in the old walled city, around three hours from Montréal by rail.","Brief note fragment"
