page,location,before,after,reason
"formula-one/abu-dhabi-grand-prix","Circuit section lede (#tickets area)","The full ticket ladder follows below.","The full choice of seats and hospitality follows below.","Internal jargon (""ticket ladder"")"
"formula-one/abu-dhabi-grand-prix","Grandstands section lede (section.dark p.lede)","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","Our four packages follow the same pattern at every race. What changes from circuit to circuit is where you sit and whose hospitality you enjoy, so each is named below.","Internal/process language (""the ladder"", ""every race we sell"", ""hospitality product"")"
"formula-one/abu-dhabi-grand-prix","FAQ ""difference between the package tiers"" (HTML + JSON-LD FAQPage)","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1. Premium moves you to the main grandstand opposite the pits, with start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own named hospitality product.","Our Formula One packages follow the same four steps at every race. Grandstand Experience puts you in a named grandstand at a key corner, such as Turn 1. Premium moves you to the main grandstand opposite the pits, with the start-finish straight, pit lane and podium in view. Hospitality Experience adds the circuit’s own hospitality lounge or suite.","Internal jargon (""ladders"", ""hospitality product"")"
"formula-one/australian-grand-prix","Circuit section lede (#tickets area)","The full ticket ladder follows below.","The full choice of seats and hospitality follows below.","Internal jargon (""ticket ladder"")"
"formula-one/australian-grand-prix","Grandstands section lede (section.dark p.lede)","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","Our four packages follow the same pattern at every race. What changes from circuit to circuit is where you sit and whose hospitality you enjoy, so each is named below.","Internal/process language (""the ladder"", ""every race we sell"", ""hospitality product"")"
"formula-one/australian-grand-prix","FAQ ""difference between the package tiers"" (HTML + JSON-LD FAQPage)","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1. Premium moves you to the main grandstand opposite the pits, with start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own named hospitality product.","Our Formula One packages follow the same four steps at every race. Grandstand Experience puts you in a named grandstand at a key corner, such as Turn 1. Premium moves you to the main grandstand opposite the pits, with the start-finish straight, pit lane and podium in view. Hospitality Experience adds the circuit’s own hospitality lounge or suite.","Internal jargon (""ladders"", ""hospitality product"")"
"formula-one/austrian-grand-prix","Circuit section lede (#tickets area)","The full ticket ladder follows below.","The full choice of seats and hospitality follows below.","Internal jargon (""ticket ladder"")"
"formula-one/austrian-grand-prix","Grandstands section lede (section.dark p.lede)","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","Our four packages follow the same pattern at every race. What changes from circuit to circuit is where you sit and whose hospitality you enjoy, so each is named below.","Internal/process language (""the ladder"", ""every race we sell"", ""hospitality product"")"
"formula-one/austrian-grand-prix","FAQ ""difference between the package tiers"" (HTML + JSON-LD FAQPage)","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1. Premium moves you to the main grandstand opposite the pits, with start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own named hospitality product.","Our Formula One packages follow the same four steps at every race. Grandstand Experience puts you in a named grandstand at a key corner, such as Turn 1. Premium moves you to the main grandstand opposite the pits, with the start-finish straight, pit lane and podium in view. Hospitality Experience adds the circuit’s own hospitality lounge or suite.","Internal jargon (""ladders"", ""hospitality product"")"
"formula-one/azerbaijan-grand-prix","Circuit section lede (#tickets area)","The full ticket ladder follows below.","The full choice of seats and hospitality follows below.","Internal jargon (""ticket ladder"")"
